operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,input_size,hidden_size,batch_size,time_step
Activations_t0,18,32857,0.0004382719993591309,65536000,1.9824321327359854e-05,1.319056611492897e-05,4.584503112042989e-06,2.0492521003878944e-06,4,640,25600,640,0
Cell Update_t0,18,32857,0.0004126720130443573,32768000,2.5323091266969308e-05,1.6498068760029128e-05,6.099471268462375e-06,2.7255512384778064e-06,4,640,25600,640,0
Hidden Update_t0,0,32857,0.0002467840015888214,32768000,2.889179243376766e-05,1.780584758037662e-05,7.672118637688883e-06,3.413826215702159e-06,4,640,25600,640,0
h_Gates_t1,0,32857,0.02631372833251953,3355443200000,3.576816440931242e-05,2.243862906325944e-05,9.220730432133394e-06,4.108804913919586e-06,4,640,25600,640,1
Gates_t1,0,32857,0.001311743974685669,83886080000,4.51914777771697e-05,2.9278912311525573e-05,1.1007287139154953e-05,4.90527832648918e-06,4,640,25600,640,1
Activations_t1,14,32857,0.0004700160026550293,65536000,5.1205156704340776e-05,3.2676692814703756e-05,1.2794296902096007e-05,5.734166987541015e-06,4,640,25600,640,1
Cell Update_t1,14,32857,0.0004055039882659912,32768000,5.484586445954046e-05,3.3984193859026846e-05,1.4423004871725806e-05,6.438665728787805e-06,4,640,25600,640,1
Hidden Update_t1,14,32857,0.00024371199309825898,32768000,6.173876810006354e-05,3.8601419774408896e-05,1.5994558906747458e-05,7.142789418907185e-06,4,640,25600,640,1
h_Gates_t2,0,32857,0.026055679321289063,3355443200000,6.739860451505866e-05,4.190225574518536e-05,1.7645310505126437e-05,7.851038264746862e-06,4,640,25600,640,2
Gates_t2,0,32857,0.001311743974685669,83886080000,7.101474795209682e-05,4.323531236849476e-05,1.924137067086198e-05,8.53806491274007e-06,4,640,25600,640,2
Activations_t2,14,32857,0.0005345280170440674,65536000,8.021676718644258e-05,5.012559565997776e-05,2.0848620012215682e-05,9.242551514249126e-06,4,640,25600,640,2
Cell Update_t2,14,32857,0.00042086398601531985,32768000,8.846591767498628e-05,5.463948816242237e-05,2.3348789512348043e-05,1.0477640000215855e-05,4,640,25600,640,2
Hidden Update_t2,14,32857,0.00024780799448490145,32768000,9.564171073941478e-05,5.9198380693459285e-05,2.513486260787305e-05,1.1308467438082432e-05,4,640,25600,640,2
h_Gates_t3,0,32857,0.026085376739501953,3355443200000,0.00010145322526100186,6.249588333773204e-05,2.688761428785286e-05,1.2069727635416947e-05,4,640,25600,640,3
Gates_t3,0,32857,0.0014602240324020385,83886080000,0.00010958201850451776,6.81386656218308e-05,2.8596435377129512e-05,1.2846917505557436e-05,4,640,25600,640,3
Activations_t3,14,32857,0.0005304319858551026,65536000,0.00011481312035874344,7.07006121167808e-05,3.0419225168693757e-05,1.3693283073268865e-05,4,640,25600,640,3
Cell Update_t3,14,32857,0.0004843519926071167,32768000,0.00012226348849995672,7.534367138717357e-05,3.2333173088739254e-05,1.4586644024043878e-05,4,640,25600,640,3
