operation,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,memory_access,d_model
Final Projection,0,1165,0.0004919296026229859,22682796032,0.0002099671154262636,0.00010079363619013293,8.447440380169087e-05,2.4699075434439807e-05,256,7047479296,832
QKV Projections,0,1217,0.001122918403148651,78920024064,2.4753549494653543e-05,1.240950992666967e-05,9.573619492222672e-06,2.770420075761204e-06,256,7589593088,896
Attention Scores,0,1217,0.0005644287943840027,7516192768,7.519020712662785e-05,3.6657195993683446e-05,2.9790722221447602e-05,8.742288911496801e-06,256,7589593088,896
attention_softmax,0,1217,0.00020336640179157258,131072,0.00012683589417906461,6.12265489785102e-05,5.062227094222863e-05,1.4987074258325785e-05,256,7589593088,896
Attention Output,0,1217,0.00047820799946784976,7516192768,0.00017961492409487802,8.669234713067908e-05,7.179682149296663e-05,2.1125755471232317e-05,256,7589593088,896
Final Projection,0,1217,0.0005246976017951965,26306674688,0.00024029741582911644,0.0001160921484270716,9.586024952147184e-05,2.834501788057302e-05,256,7589593088,896
QKV Projections,0,1269,0.0012390400409698489,90596966400,2.5600679441459077e-05,1.2898954766882298e-05,9.769718815769505e-06,2.9320058588072765e-06,256,8131706880,960
Attention Scores,0,1269,0.0005847039937973023,8053063680,7.829514522171997e-05,3.7954474810675264e-05,3.1068998521846006e-05,9.271671889198688e-06,256,8131706880,960
attention_softmax,0,1269,0.00020951039791107176,131072,0.00014021633587203713,6.755266515625635e-05,5.6004964415047165e-05,1.6658706300733617e-05,256,8131706880,960
Attention Output,0,1269,0.0004851711988449097,8053063680,0.00019768234890896844,9.53415762758425e-05,7.886354864634435e-05,2.3477223986781622e-05,256,8131706880,960
Final Projection,0,1269,0.0005648383975028992,30198988800,0.00024889466873276534,0.00011934481770339289,9.972250838905447e-05,2.9827342640317968e-05,256,8131706880,960
