,source,batch_size,input_size,hidden_size,component,gpu_util,mem_used_MB,elapsed_time_sec,FLOPs,energy_consumed_kWh,total_gpu_energy_kWh,total_cpu_energy_kWh,total_ram_energy_kWh,seq_len,peak,flops_per_second,HEF
8566,NVIDIA GeForce RTX 2080 Ti,2560,256,2560,Cell Update,0,3372,0.0007280640006065,13107200,0.0002071043451175,8.143506514635135e-05,5.989279494824588e-05,6.57764850229773e-05,4,11340000000000.0,18002812924.524895,0.158755
8567,NVIDIA GeForce RTX 2080 Ti,2560,256,2560,Hidden Update,0,3372,0.0004648959934711,13107200,0.0002183124797475,8.577117972841108e-05,6.316298793010195e-05,6.937831208900405e-05,4,11340000000000.0,28193832995.067104,0.248623
8568,NVIDIA GeForce RTX 2080 Ti,2560,256,2560,compute_gates,1,3372,0.0026006400585174,13421772800,0.0001847151511248,7.273172485078305e-05,5.3361709212266666e-05,5.862171706184474e-05,4,11340000000000.0,5160949803892.363,45.511021
8569,NVIDIA GeForce RTX 2080 Ti,2560,256,2560,hidden_gates,9,3372,0.0158125762939453,134217728000,0.0001728292252133,6.780616535451145e-05,5.005011862142258e-05,5.497294123740217e-05,4,11340000000000.0,8488036706035.848,74.850412
8570,NVIDIA GeForce RTX 2080 Ti,2560,256,3200,Activations,0,3372,0.0008151040077209,32768000,0.0001977736104109,7.869561851236995e-05,5.675495381785569e-05,6.232303808077326e-05,4,11340000000000.0,40201004644.33013,0.354506
8571,NVIDIA GeForce RTX 2080 Ti,2560,256,3200,Cell Update,0,3372,0.0009011200070381,16384000,0.0002090961855027,8.307784423955411e-05,6.005737634509892e-05,6.596096491810162e-05,4,11340000000000.0,18181818039.811066,0.160333
8572,NVIDIA GeForce RTX 2080 Ti,2560,256,3200,Hidden Update,0,3372,0.0005304319858551,16384000,0.0002202610375532,8.739395880397183e-05,6.331603666953419e-05,6.9551042079751e-05,4,11340000000000.0,30888031711.714455,0.272381
8573,NVIDIA GeForce RTX 2080 Ti,2560,256,3200,compute_gates,2,3372,0.0032163839340209,16777216000,0.0001864114468457,7.426644830133e-05,5.345631169054993e-05,5.868868685388597e-05,4,11340000000000.0,5216173300252.215,45.998001
8574,NVIDIA GeForce RTX 2080 Ti,2560,256,3200,hidden_gates,15,3372,0.0261232643127441,209715200000,0.0001742917619079,6.905866635698032e-05,5.016755670334936e-05,5.506553884760154e-05,4,11340000000000.0,8027909433113.667,70.792852
8575,NVIDIA GeForce RTX 2080 Ti,2560,256,3840,Activations,1,3372,0.0009461759924888,39321600,0.0001989818811338,8.012367520926489e-05,5.664075336341436e-05,6.221745256118756e-05,4,11340000000000.0,41558441888.352455,0.366477
8576,NVIDIA GeForce RTX 2080 Ti,2560,256,3840,Cell Update,1,3372,0.0010689280033111,19660800,0.0002103047613825,8.451201205339487e-05,5.995287267812981e-05,6.583987665102107e-05,4,11340000000000.0,18393006768.555897,0.162196
8577,NVIDIA GeForce RTX 2080 Ti,2560,256,3840,Hidden Update,0,3372,0.0006223040223121,19660800,0.0002213729242671,8.879423770125072e-05,6.318194562384937e-05,6.939674094209794e-05,4,11340000000000.0,31593560856.23957,0.278603
8578,NVIDIA GeForce RTX 2080 Ti,2560,256,3840,compute_gates,2,3372,0.003823487997055,20132659200,0.000187619996055,7.569644944460663e-05,5.333177894208348e-05,5.85917676683455e-05,4,11340000000000.0,5265521747552.748,46.433172
8579,NVIDIA GeForce RTX 2080 Ti,2560,256,3840,hidden_gates,26,3372,0.0439723205566406,301989888000,0.0001749975791213,6.999811155417035e-05,5.002418186300525e-05,5.497528570418232e-05,4,11340000000000.0,6867726883119.754,60.561965
8580,NVIDIA GeForce RTX 2080 Ti,2560,256,4480,Activations,1,3372,0.0010926079750061,45875200,0.0002016922738408,8.249617710731627e-05,5.674584715735465e-05,6.245024957619603e-05,4,11340000000000.0,41986880060.749954,0.370255
8581,NVIDIA GeForce RTX 2080 Ti,2560,256,4480,Cell Update,1,3372,0.0012267520427703,22937600,0.0002131372204296,8.693395843550888e-05,6.0079797518361984e-05,6.612346447576474e-05,4,11340000000000.0,18697829064.30007,0.164884
8582,NVIDIA GeForce RTX 2080 Ti,2560,256,4480,Hidden Update,0,3372,0.0007063360214233,22937600,0.0002244812136023,9.132396194644345e-05,6.338845530238662e-05,6.976879635351225e-05,4,11340000000000.0,32474062350.35227,0.286367
8583,NVIDIA GeForce RTX 2080 Ti,2560,256,4480,compute_gates,3,3372,0.0044431362152099,23488102400,0.0001901412426437,7.797172904311367e-05,5.340229644821698e-05,5.876721715238802e-05,4,11340000000000.0,5286379094027.031,46.6171
8584,NVIDIA GeForce RTX 2080 Ti,2560,256,4480,hidden_gates,39,3372,0.0646398391723632,411041792000,0.0001768211072864,7.16847795683151e-05,5.00562139792439e-05,5.508011373888132e-05,4,11340000000000.0,6358954435266.312,56.075436
8585,NVIDIA GeForce RTX 2080 Ti,2560,256,5120,Activations,1,3372,0.0012400640249252,52428800,0.0002231916747381,0.0001037581385627,5.683334129021711e-05,6.260019488515777e-05,4,11340000000000.0,42279107325.25482,0.372832
8586,NVIDIA GeForce RTX 2080 Ti,2560,256,5120,Cell Update,0,3372,0.0014233599901199,26214400,0.0002357227328618,0.000109301754108,6.015864003169959e-05,6.626233872210639e-05,4,11340000000000.0,18417266314.891827,0.16241
8587,NVIDIA GeForce RTX 2080 Ti,2560,256,5120,Hidden Update,0,3372,0.0008036800026893,26214400,0.0002482521514708,0.0001148378696491,6.34862918568413e-05,6.992798996482922e-05,4,11340000000000.0,32617957286.831234,0.287636
8588,NVIDIA GeForce RTX 2080 Ti,2560,256,5120,compute_gates,2,3372,0.0045199360847473,26843545600,0.0002106018150634,9.81056340396691e-05,5.353130488729221e-05,5.896487613650806e-05,4,11340000000000.0,5938921501696.581,52.371442
8589,NVIDIA GeForce RTX 2080 Ti,2560,256,5120,hidden_gates,47,3372,0.082540542602539,536870912000,0.0001939478667876,8.84981263542528e-05,5.0178901700484055e-05,5.52708387328849e-05,4,11340000000000.0,6504329812625.747,57.357406
8590,NVIDIA GeForce RTX 2080 Ti,2560,256,5760,Activations,1,3372,0.0013904639482498,58982400,0.0002259964495618,0.0001064753629584,5.694259574682089e-05,6.257849085652959e-05,4,11340000000000.0,42419222788.366516,0.374067
8591,NVIDIA GeForce RTX 2080 Ti,2560,256,5760,Cell Update,0,3372,0.0015534080266952,29491200,0.0002386518899472,0.0001121137008031,6.0281003861827126e-05,6.625718528230362e-05,4,11340000000000.0,18984838170.7806,0.167415
8592,NVIDIA GeForce RTX 2080 Ti,2560,256,5760,Hidden Update,0,3372,0.0008919039964675,29491200,0.0002512338830197,0.0001177228719573,6.36102446443854e-05,6.990076641800807e-05,4,11340000000000.0,33065442151.62582,0.291582
8593,NVIDIA GeForce RTX 2080 Ti,2560,256,5760,compute_gates,3,3372,0.0051425280570983,30198988800,0.0002132653750736,0.0001006725805385,5.362176643579409e-05,5.897102809922386e-05,4,11340000000000.0,5872401368489.557,51.784845
